     45 30001131	goat	 (GPC attValue)
     44 30015612	mixed offal	 (GPC attValue)
     44 30013635	whole muscle - rib cut	Muscle piece from the chuck, rib, plate, or belly containing rib bones. (GPC attValue)
     44 30009315	lung	 (GPC attValue)
     44 30009198	freestanding	 (GPC attValue)
     44 30006681	lip	 (GPC attValue)
     43 30013640	tendon	Fibrous connective tissue. (GPC attValue)
     43 30013620	no non-thermal preservation	Product has not been non-thermally processed (e.g., not smoked or cured). (GPC attValue)
     43 30013619	smoked/cured	Product preserved using salt, sugar, or nitrate and partially or fully cooked using a smoking process. (GPC attValue)
     43 30013618	salted/cured	Product preserved using salt, sugar, or nitrate. (GPC attValue)
     43 30013617	pickled	Product preserved by immersion in brine solution. (GPC attValue)
     43 30013616	irradiated	Product is exposed to ionizing radiation to destroy microorganisms, bacteria, and viruses. (GPC attValue)
     43 30013615	dry aged	Product held for an extended period of time in a cooled environment to enhance flavour and reduce moisture content. (GPC attValue)
     43 30013601	fully cooked	Product has been thermally treated so that it is ready to eat or to be heated and served. (GPC attValue)
     43 30013600	partially cooked	Product has been thermally treated but requires additional cooking before it is ready to eat. (GPC attValue)
     43 30013599	blanched	Product which has been quick-cooked and then chilled to stop the cooking process. (GPC attValue)
     43 30013598	raw/uncooked	Product has not been thermally treated. (GPC attValue)
     43 30008129	3-5 year	 (GPC attValue)
     43 30006938	donkey	 (GPC attValue)
     43 30003719	ceramic	 (GPC attValue)
     43 30001554	meat	 (GPC attValue)
     43 30001273	horse	 (GPC attValue)
     43 30001253	herb	 (GPC attValue)
     42 30013642	bulk/unshaped	Product with no defined shape such as bulk ground or paste-like product. (GPC attValue)
     42 30013636	whole muscle - roast cut	Flat muscle slice that is 5 cm. (2 in.) or more thick. (GPC attValue)
     42 30011505	>5-10 year	 (GPC attValue)
     42 30011504	<3 year	 (GPC attValue)
     42 30003633	aerosol spray/stream	This term is used by the manufacturers to identify products that are under pressure and able to be released as a fine spray or stream, typically by means of a propellant gas. (GPC attValue)
     42 30002837	sliced	A trade item is referred to as "sliced" when it has been sliced. (GPC attValue)
     41 30015606	brain	 (GPC attValue)
     41 30013652	link (meat shape)	A generally short, tubular shaped ground or chopped product with or without an edible casing. (GPC attValue)
     41 30013651	rope/ring	A long, tubular shaped ground or chopped product with or without an edible casing where the ends of each segment touch (ring) or where the length is coiled (rope). (GPC attValue)
     41 30013649	patty	A generally flat, formed serving of ground meat. (GPC attValue)
     41 30013645	meatball	A generally spherical mass of ground meat. (GPC attValue)
     41 30013643	chub/log	A large generally tubular shape of ground or chopped product. (GPC attValue)
     41 30013638	whole muscle - steak/chop cut	Flat muscle slice that is 2 to 4 cm. (3/4 to 1 1/2 in.) thick. (GPC attValue)
     41 30011507	>15 year	 (GPC attValue)
     41 30011506	>10-15year	 (GPC attValue)
     41 30006939	pig	 (GPC attValue)
     41 30004621	bedroom	 (GPC attValue)
     41 30001454	loaf	A generally rectangular shaped ground or chopped product. (GPC attValue)
     41 30000316	belly	 (GPC attValue)
     40 30015611	intestine (small)	 (GPC attValue)
     40 30015610	intestine (large)	 (GPC attValue)
     40 30015607	esophagu	 (GPC attValue)
     40 30013639	whole muscle - sub-primal	Unsliced whole muscle cut separated from a large animal primal cut. (GPC attValue)
     40 30013634	whole muscle - primal	Unsliced whole muscle cut first separated from a large animal carcass. (GPC attValue)
     40 30005296	diaphragm/diaphragm muscle	 (GPC attValue)
